Distinct y {np.int32(1), np.int32(2), np.int32(3), np.int32(4), np.int32(5), np.int32(6), np.int32(7)}
Sample X (1, 54)
Sample y [2 2 2]
Loss in batch 226 is 0.7852960228919983
Loss in batch 227 is 1.0105655193328857
Loss in batch 228 is 1.2001012563705444
Loss in batch 229 is 0.8905317783355713
Loss in batch 230 is 0.9555042386054993
Loss in batch 231 is 1.2903212308883667
Loss in batch 232 is 1.4375617504119873
Loss in batch 233 is 1.0819629430770874
Loss in batch 234 is 0.8813437223434448
Loss in batch 235 is 0.9718459248542786
Loss in batch 236 is 1.1457575559616089
Loss in batch 237 is 1.3038965463638306
Loss in batch 238 is 1.5293601751327515
Loss in batch 239 is 1.2654860019683838
Loss in batch 240 is 1.5731289386749268
Loss in batch 241 is 0.8353896141052246
Loss in batch 242 is 1.251428246498108
Loss in batch 243 is 1.2980642318725586
Loss in batch 244 is 0.9647359251976013
Loss in batch 245 is 1.2015633583068848
Loss in batch 246 is 1.0407159328460693
Loss in batch 247 is 1.1437981128692627
Loss in batch 248 is 1.2293213605880737
Loss in batch 249 is 1.2921690940856934
Loss in batch 250 is 1.3318489789962769
Loss in batch 251 is 1.3505557775497437
Loss in batch 252 is 1.082574725151062
Loss in batch 253 is 1.1062051057815552
Loss in batch 254 is 0.9939939975738525
Loss in batch 255 is 1.0665919780731201
Loss in batch 256 is 1.0313764810562134
Loss in batch 257 is 1.1551753282546997
Loss in batch 258 is 1.0437077283859253
Loss in batch 259 is 1.219923496246338
Loss in batch 260 is 0.8592256903648376
Loss in batch 261 is 1.2501920461654663
Loss in batch 262 is 1.1414437294006348
Loss in batch 263 is 1.0089986324310303
Loss in batch 264 is 1.1941291093826294
Loss in batch 265 is 1.021813988685608
Loss in batch 266 is 1.1981338262557983
Loss in batch 267 is 0.9989866614341736
Loss in batch 268 is 0.9700847268104553
Loss in batch 269 is 1.352685809135437
Loss in batch 270 is 1.4168479442596436
Loss in batch 271 is 1.2379283905029297
Loss in batch 272 is 1.0544896125793457
Loss in batch 273 is 0.7331342101097107
Loss in batch 274 is 0.8241166472434998
Loss in batch 275 is 2.1937763690948486
Loss in batch 276 is 1.135988473892212
Loss in batch 277 is 1.4434010982513428
Loss in batch 278 is 1.1186718940734863
Loss in batch 279 is 1.5377588272094727
Loss in batch 280 is 1.3024452924728394
Loss in batch 281 is 1.2020658254623413
Loss in batch 282 is 0.9351738691329956
Loss in batch 283 is 1.1335481405258179
Loss in batch 284 is 1.2458876371383667
Loss in batch 285 is 0.8661763668060303
Loss in batch 286 is 1.5222655534744263
Loss in batch 287 is 1.1766929626464844
Loss in batch 288 is 0.9945432543754578
Loss in batch 289 is 1.0687448978424072
Loss in batch 290 is 1.1883320808410645
